date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:12	259451/259451	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2002:02:44%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/25667IMG_3336.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/25667IMG_3336b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:14	136934/136934	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:09:13%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/52335IMG_2889.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/52335IMG_2889b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:15	386027/386027	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2002:22:55%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/12701IMG_2669.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/12701IMG_2669b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:16	307709/307709	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2017:26:27%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/44311IMG_2670.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/44311IMG_2670b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:17	197181/197181	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20May%202020%2021:19:45%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/9131IMG_3256.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/9131IMG_3256b729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:17	64867/64867	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2007:15:51%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/47732Screen_Shot_2020-04-13_at_2.47.39_PM.png?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/47732Screen_Shot_2020-04-13_at_2.47.39_PMb729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:19	128669/128669	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2022:45:33%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/9971519B5E980-28D8-4869-8E06-E06F5E907D17_1_105_c.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/9971519B5E980-28D8-4869-8E06-E06F5E907D17_1_105_cb729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:20	306272/306272	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20May%202020%2022:45:36%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/9802878285342-FD18-484D-9CA8-2FCB654C46C3_1_201_a.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/9802878285342-FD18-484D-9CA8-2FCB654C46C3_1_201_ab729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:21	131435/131435	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:09:20%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/814270930413F-48D2-4BAE-BEE1-0886E7700319_1_105_c.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/814270930413F-48D2-4BAE-BEE1-0886E7700319_1_105_cb729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
14:09:22	132946/132946	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20May%202020%2011:09:21%20GMT	https://images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/4661905936E41-783C-441A-A19C-67DB54AB610E_1_105_c.jpeg?w=1800&fit=max&auto=compress,format&h=1800	/home/vargan/websites/maman/images.getbento.com/accounts/b364399694ba06197e9f6c7181cb6ed0/media/images/4661905936E41-783C-441A-A19C-67DB54AB610E_1_105_cb729.jpg	(from https://www.coloniaverdenyc.com/store/catering/)
